name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,120,25m15s,[70],25m15s,25m15s,[54],1515.513,[70],1515.518,[54],1515.515,120
exch_data,27962400,0.00000s,[2],0.00111s,0.31057s,[100],192.791,[72],522.439,[114],257.593,120
global_sum,865200,0.00000s,[3],0.00002s,0.01244s,[27],0.113,[73],0.286,[0],0.152,120
ordglb_sum,881160,0.00000s,[96],0.00925s,0.23317s,[13],8.397,[114],99.346,[74],67.893,120
wrt_output,240,0.40120s,[33],0.45752s,0.51099s,[117],0.910,[69],0.921,[74],0.915,120
physics,864120,0.01469s,[112],0.09164s,0.71202s,[97],657.284,[105],663.304,[3],659.874,120
intp,4465320,0.00001s,[0],0.00008s,0.01273s,[112],2.095,[113],3.561,[33],2.991,120
nh_diagnostics,2736960,0.00000s,[0],0.00022s,0.02224s,[18],3.710,[112],5.224,[109],4.985,120
diagnose_pres_temp,360480,0.00000s,[0],0.00054s,0.00563s,[112],1.064,[112],1.734,[73],1.625,120
model_init,360,0.18548s,[75],1.0282s,1.7513s,[65],3.063,[75],3.104,[0],3.085,120
upper_atmosphere,480,0.00000s,[1],0.00082s,0.00646s,[26],0.001,[52],0.008,[26],0.003,120
write_restart,144240,0.00934s,[14],0.01863s,3.7024s,[102],21.454,[1],23.412,[112],22.390,120
