# dedicated PEs,Get MB/s avg,Write MB/s avg
0r,0,0
1r,13712.0143,1207.8017000000002
2r,15326.3815,1257.6757499999999
4r,16620.009599999998,1339.75225
8r,20214.636900000005,1629.8332500000001
