# dedicated PEs,Get MB/s avg,Write MB/s avg
0io,0,0
1io,3294.4868343047497,264.0117327227311
2io,3643.0401273938455,300.2591032472941
4io,3950.754108243131,359.6378684429639
8io,4652.725308076598,489.215432139883
16io,5240.845688592835,522.3104746044955
32io,6165.917235636981,429.5098068276436
