name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,2044,05m42s,[1974],05m42s,05m42s,[1],342.289,[1974],342.300,[1],342.294,2044
exch_data,476292880,0.00000s,[65],0.00020s,0.47954s,[119],27.400,[62],112.290,[2042],47.360,2044
global_sum,14737240,0.00000s,[83],0.00001s,0.06577s,[206],0.024,[819],0.905,[0],0.056,2044
ordglb_sum,15009092,0.00001s,[3],0.00717s,0.48480s,[1426],17.374,[1723],58.278,[1880],52.642,2044
wrt_output,4088,19.7063s,[12],33.6849s,47.6601s,[0],67.327,[2],67.387,[1958],67.370,2044
physics,14718844,0.00355s,[240],0.02530s,0.53684s,[1513],178.302,[0],183.636,[353],182.174,2044
intp,73647364,0.00000s,[3],0.00001s,0.00723s,[1152],0.311,[2041],0.531,[510],0.437,2044
nh_diagnostics,44207632,0.00000s,[0],0.00002s,0.02365s,[508],0.319,[63],0.576,[378],0.400,2044
diagnose_pres_temp,3728256,0.00000s,[0],0.00000s,0.13493s,[493],0.004,[470],0.148,[1510],0.007,2044
model_init,6132,1.4372s,[27],8.6443s,20.3016s,[1947],25.899,[17],25.986,[1067],25.933,2044
upper_atmosphere,8176,0.00000s,[22],0.00125s,0.00917s,[1431],0.001,[1514],0.010,[1978],0.005,2044
write_restart,44968,0.00228s,[1],0.10269s,1.9887s,[314],2.206,[2030],2.282,[7],2.259,2044
