name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,256,25m41s,[127],25m41s,25m41s,[219],1541.459,[127],1541.486,[219],1541.470,256
exch_data,59653120,0.00000s,[24],0.00053s,0.40110s,[101],93.362,[228],171.964,[169],122.546,256
global_sum,1845760,0.00000s,[27],0.00008s,0.36611s,[131],0.497,[101],0.962,[128],0.595,256
ordglb_sum,1879808,0.00001s,[159],0.00722s,0.40156s,[112],8.961,[168],81.683,[228],53.014,256
wrt_output,307456,0.62481s,[239],0.73521s,8.8823s,[0],882.704,[236],883.950,[0],882.990,256
physics,1843456,0.00712s,[224],0.04749s,0.55039s,[168],340.658,[12],343.532,[176],342.010,256
intp,9525760,0.00000s,[4],0.00004s,0.00513s,[224],1.135,[53],1.681,[72],1.353,256
nh_diagnostics,6452480,0.00000s,[0],0.00029s,0.02417s,[24],6.800,[110],7.733,[216],7.333,256
diagnose_pres_temp,768768,0.00000s,[0],0.00020s,0.00586s,[210],0.489,[176],0.690,[131],0.613,256
model_init,768,0.24863s,[131],1.3944s,2.1562s,[2],4.170,[132],4.209,[232],4.183,256
upper_atmosphere,1024,0.00000s,[36],0.00170s,0.00960s,[175],0.003,[14],0.011,[175],0.007,256
write_restart,512,0.00000s,[21],0.00093s,0.00287s,[183],0.000,[0],0.004,[71],0.002,256
