name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,254,47m43s,[203],47m43s,47m43s,[239],2863.680,[203],2863.694,[239],2863.687,254
exch_data,59187080,0.00000s,[63],0.00175s,0.43037s,[213],223.965,[152],1287.035,[250],406.781,254
global_sum,1831340,0.00000s,[1],0.00005s,0.04354s,[3],0.161,[1],1.008,[0],0.328,254
ordglb_sum,1865122,0.00001s,[6],0.02514s,0.43264s,[152],16.680,[167],261.767,[152],184.639,254
wrt_output,508,1.7276s,[84],1.8049s,1.8776s,[205],3.601,[23],3.620,[83],3.610,254
physics,1829054,0.02963s,[2],0.17018s,0.68083s,[54],1213.846,[0],1239.136,[249],1225.446,254
intp,9151874,0.00001s,[0],0.00017s,0.01445s,[2],3.525,[249],8.276,[72],6.217,254
nh_diagnostics,5493512,0.00000s,[0],0.00020s,0.01986s,[21],3.771,[251],4.815,[2],4.337,254
diagnose_pres_temp,463296,0.00000s,[0],0.00011s,0.00459s,[105],0.050,[249],0.294,[124],0.192,254
model_init,762,0.30295s,[56],1.9284s,2.7869s,[95],5.755,[94],5.829,[9],5.785,254
upper_atmosphere,1016,0.00000s,[10],0.00079s,0.00724s,[249],0.001,[195],0.008,[249],0.003,254
write_restart,5588,0.02470s,[140],0.18444s,3.2402s,[122],3.926,[208],4.168,[251],4.058,254
