name,# calls,t_min,t_avg,t_max,total min (s),total max (s),total avg (s)
wrt_output,3602,0.00000s,0.48987s,10.8763s,1764.528,1764.528,1764.528
model_init,1,0.00051s,0.00051s,0.00051s,0.001,0.001,0.001
