name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,504,26m11s,[437],26m11s,26m11s,[337],1571.389,[437],1571.394,[337],1571.391,504
exch_data,117442080,0.00000s,[77],0.00021s,0.30887s,[315],34.338,[304],93.291,[502],49.257,504
global_sum,3633840,0.00000s,[167],0.00001s,0.06165s,[192],0.019,[1],0.431,[0],0.058,504
ordglb_sum,3700872,0.00001s,[140],0.00460s,0.31333s,[61],5.718,[142],43.076,[191],33.801,504
wrt_output,1008,1.5408s,[0],1.6179s,1.6900s,[36],3.229,[264],3.245,[441],3.236,504
physics,3629304,0.00387s,[273],0.02428s,0.36109s,[61],172.993,[0],175.775,[204],174.848,504
intp,18754344,0.00000s,[2],0.00001s,0.00265s,[55],0.408,[497],0.607,[107],0.486,504
nh_diagnostics,11495232,0.00000s,[0],0.00004s,0.02054s,[359],0.746,[70],1.117,[113],0.865,504
diagnose_pres_temp,1514016,0.00000s,[0],0.00006s,0.00918s,[352],0.173,[458],0.245,[126],0.190,504
model_init,1512,0.26807s,[1],1.5159s,2.1601s,[65],4.514,[12],4.598,[88],4.548,504
upper_atmosphere,2016,0.00000s,[35],0.00138s,0.00835s,[7],0.001,[336],0.012,[501],0.006,504
write_restart,605808,0.00242s,[0],1.0712s,2.8247s,[499],1287.192,[126],1287.680,[465],1287.535,504
