name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,511,28m48s,[329],28m48s,28m48s,[304],1728.461,[329],1728.466,[304],1728.463,511
exch_data,119073220,0.00000s,[41],0.00022s,1.4343s,[174],35.923,[14],84.898,[507],51.466,511
global_sum,3684310,0.00000s,[3],0.00001s,0.06919s,[482],0.024,[179],0.455,[0],0.052,511
ordglb_sum,3752273,0.00002s,[391],0.00494s,1.4486s,[46],5.372,[509],44.124,[145],36.250,511
wrt_output,1022,1.5971s,[231],1.6630s,1.7247s,[119],3.320,[231],3.335,[143],3.326,511
physics,3679711,0.00371s,[97],0.02430s,1.4872s,[108],172.770,[0],175.831,[381],174.976,511
intp,19014821,0.00000s,[0],0.00001s,0.00110s,[95],0.417,[209],0.570,[335],0.481,511
nh_diagnostics,11654888,0.00000s,[0],0.00004s,0.21049s,[225],0.723,[424],1.266,[242],0.894,511
diagnose_pres_temp,1535044,0.00000s,[0],0.00008s,0.15606s,[490],0.175,[134],0.378,[509],0.229,511
model_init,1533,0.27358s,[300],2.3335s,4.5429s,[47],6.973,[419],7.042,[482],7.001,511
upper_atmosphere,2044,0.00000s,[23],0.00115s,0.00931s,[415],0.001,[205],0.010,[415],0.005,511
write_restart,614222,0.00451s,[0],1.2010s,2.2103s,[383],1443.323,[510],1443.687,[422],1443.575,511
