name,# calls,t_min,t_avg,t_max,total min (s),total max (s),total avg (s)
wrt_output,1202,0.00000s,2.6475s,10.7163s,3182.299,3182.299,3182.299
model_init,1,0.00208s,0.00208s,0.00208s,0.002,0.002,0.002
