# dedicated PEs,Get MB/s avg,Write MB/s avg
0r,0,0
1r,9122.193863333347,1144.6176583333313
2r,9330.726,1156.7375258333318
4r,9522.345351666674,1251.975587500001
8r,10035.960904166672,1305.743638333334
