# dedicated PEs,Get MB/s avg,Write MB/s avg
0r,0,0
1r,32180.614049999996,861.0662500000001
2r,36815.07614999999,1009.6451500000001
4r,46393.6806,1058.845
8r,54639.406449999995,1339.6535
