name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,127,24m13s,[81],24m13s,24m13s,[55],1453.509,[81],1453.512,[55],1453.510,127
exch_data,29593540,0.00000s,[109],0.00092s,0.85487s,[115],161.579,[10],371.358,[123],214.475,127
global_sum,915670,0.00000s,[27],0.00001s,0.01595s,[80],0.066,[41],0.220,[0],0.099,127
ordglb_sum,932561,0.00000s,[38],0.00923s,0.83534s,[70],6.562,[125],96.402,[99],67.761,127
wrt_output,152527,0.00219s,[2],0.05169s,7.2250s,[122],61.949,[31],62.470,[125],62.075,127
physics,914527,0.01436s,[2],0.08608s,0.95754s,[88],617.391,[0],621.968,[76],619.879,127
intp,4725670,0.00001s,[38],0.00008s,0.00831s,[2],2.090,[114],3.754,[126],2.907,127
nh_diagnostics,3201035,0.00000s,[0],0.00050s,0.21525s,[125],12.055,[126],12.785,[2],12.600,127
diagnose_pres_temp,381381,0.00000s,[0],0.00048s,0.00612s,[2],1.206,[125],1.584,[4],1.445,127
model_init,381,0.71438s,[107],1.1521s,1.9545s,[122],3.446,[53],3.471,[66],3.456,127
upper_atmosphere,508,0.00000s,[0],0.00109s,0.00727s,[110],0.001,[86],0.008,[87],0.004,127
write_restart,254,0.00000s,[93],0.00127s,0.00326s,[42],0.000,[24],0.005,[55],0.003,127
