name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,126,26m27s,[11],26m27s,26m27s,[72],1587.296,[11],1587.301,[72],1587.298,126
exch_data,29360520,0.00000s,[44],0.00104s,0.79100s,[121],174.336,[12],335.027,[121],242.791,126
global_sum,908460,0.00000s,[1],0.00002s,0.02197s,[87],0.109,[63],0.300,[0],0.155,126
ordglb_sum,925218,0.00000s,[114],0.01243s,0.78168s,[107],4.974,[124],129.156,[77],91.279,126
wrt_output,453726,0.00223s,[124],0.03014s,7.6447s,[109],108.002,[0],109.643,[122],108.517,126
physics,907326,0.01496s,[81],0.09171s,0.90435s,[45],657.377,[117],663.557,[43],660.378,126
intp,4990860,0.00001s,[3],0.00008s,0.00389s,[81],2.774,[115],3.797,[78],3.243,126
nh_diagnostics,4083030,0.00000s,[0],0.00108s,0.22547s,[125],33.610,[120],35.493,[5],34.993,126
diagnose_pres_temp,680778,0.00000s,[0],0.00086s,0.01247s,[125],3.863,[122],5.131,[0],4.624,126
model_init,378,0.39153s,[9],1.0026s,1.8441s,[22],2.995,[15],3.026,[23],3.008,126
upper_atmosphere,504,0.00000s,[79],0.00098s,0.00834s,[94],0.001,[13],0.009,[100],0.004,126
write_restart,252,0.00000s,[23],0.00133s,0.00416s,[118],0.000,[54],0.006,[31],0.003,126
