name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,500,05m36s,[77],05m36s,05m36s,[407],336.147,[77],336.150,[407],336.148,500
exch_data,116510000,0.00000s,[120],0.00023s,0.40161s,[35],35.182,[192],109.014,[497],52.828,500
global_sum,3605000,0.00000s,[15],0.00001s,0.04232s,[368],0.020,[35],0.490,[0],0.056,500
ordglb_sum,3671500,0.00001s,[413],0.00483s,0.40947s,[202],6.098,[498],46.588,[189],35.472,500
wrt_output,600500,0.00050s,[19],0.03671s,5.6023s,[273],43.710,[249],44.252,[291],44.094,500
physics,3600500,0.00386s,[115],0.02482s,0.41833s,[9],176.457,[0],179.777,[212],178.744,500
intp,18615000,0.00000s,[5],0.00001s,0.00567s,[432],0.371,[497],0.576,[125],0.483,500
nh_diagnostics,12612500,0.00000s,[0],0.00012s,0.01929s,[124],2.722,[390],3.467,[244],2.937,500
diagnose_pres_temp,1511500,0.00000s,[0],0.00007s,0.00541s,[115],0.176,[397],0.280,[125],0.198,500
model_init,1500,0.56025s,[129],1.6220s,3.0765s,[33],4.848,[186],4.902,[368],4.866,500
upper_atmosphere,2000,0.00000s,[41],0.00121s,0.00853s,[178],0.001,[126],0.010,[178],0.005,500
write_restart,11000,0.00242s,[1],0.07359s,1.3656s,[278],1.598,[224],1.630,[450],1.619,500
