# dedicated PEs,Get MB/s avg,Write MB/s avg
0r,0,0
1r,13879.404173333342,902.9771183333344
2r,14059.178110833358,955.515311666666
4r,15238.611167500003,1019.3991333333337
8r,17968.673869166683,1157.2290775
