name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,504,08m02s,[56],08m02s,08m02s,[105],482.128,[56],482.137,[105],482.133,504
exch_data,117442080,0.00000s,[106],0.00030s,0.39553s,[330],38.392,[224],120.420,[424],69.030,504
global_sum,3633840,0.00000s,[315],0.00001s,0.05308s,[216],0.026,[427],0.562,[0],0.085,504
ordglb_sum,3700872,0.00001s,[16],0.00624s,0.42746s,[153],4.625,[502],64.423,[191],45.827,504
wrt_output,1008,1.5411s,[489],1.5499s,1.5667s,[468],3.093,[167],3.109,[468],3.100,504
physics,3629304,0.00393s,[406],0.02724s,0.47890s,[168],192.797,[501],198.411,[173],196.126,504
intp,18754344,0.00000s,[0],0.00001s,0.00553s,[406],0.416,[465],0.602,[502],0.485,504
nh_diagnostics,11495232,0.00000s,[0],0.00005s,0.04642s,[227],0.736,[33],2.085,[502],1.074,504
diagnose_pres_temp,1514016,0.00000s,[0],0.00007s,0.00919s,[375],0.174,[426],0.342,[503],0.211,504
model_init,1512,0.27524s,[420],1.5623s,2.2846s,[433],4.658,[418],4.731,[88],4.687,504
upper_atmosphere,2016,0.00000s,[1],0.00123s,0.00890s,[85],0.002,[177],0.009,[85],0.005,504
write_restart,605808,0.00219s,[379],0.13215s,0.92091s,[476],157.305,[16],159.543,[428],158.845,504
