name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,240,52m42s,[143],52m42s,52m42s,[86],3162.861,[143],3162.891,[86],3162.878,240
exch_data,55924800,0.00000s,[3],0.00229s,0.72177s,[201],335.611,[52],818.322,[1],533.923,240
global_sum,1730400,0.00000s,[1],0.00012s,0.03187s,[195],0.220,[1],2.147,[0],0.858,240
ordglb_sum,1762320,0.00001s,[149],0.02778s,0.69214s,[11],20.352,[119],289.721,[82],203.983,240
wrt_output,288240,0.00471s,[123],0.01122s,0.03668s,[219],12.018,[60],14.730,[203],13.473,240
physics,1728240,0.03102s,[211],0.18775s,0.97669s,[186],1340.530,[50],1361.579,[144],1351.980,240
intp,8930400,0.00001s,[33],0.00019s,0.01089s,[211],5.612,[166],8.877,[31],7.194,240
nh_diagnostics,6049200,0.00000s,[0],0.00123s,0.03048s,[230],28.482,[203],34.251,[127],31.085,240
diagnose_pres_temp,720720,0.00000s,[0],0.00110s,0.00879s,[123],2.551,[181],3.783,[158],3.308,240
model_init,720,1.1467s,[126],2.1094s,2.8261s,[130],6.311,[77],6.353,[131],6.328,240
upper_atmosphere,960,0.00000s,[76],0.00074s,0.00428s,[19],0.001,[102],0.006,[104],0.003,240
write_restart,480,0.00000s,[40],0.00091s,0.00406s,[80],0.000,[91],0.004,[142],0.002,240
