name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,126,24m42s,[2],24m42s,24m42s,[107],1482.383,[2],1482.388,[107],1482.385,126
exch_data,29360520,0.00000s,[115],0.00103s,0.26896s,[82],169.483,[76],383.252,[121],240.698,126
global_sum,908460,0.00000s,[1],0.00002s,0.01652s,[120],0.127,[75],0.296,[0],0.162,126
ordglb_sum,925218,0.00000s,[103],0.01059s,0.27812s,[99],6.446,[125],110.798,[42],77.760,126
wrt_output,252,0.41814s,[80],0.50906s,0.59678s,[125],1.014,[112],1.023,[124],1.018,126
physics,907326,0.01452s,[80],0.08956s,0.90976s,[83],642.172,[0],647.664,[44],644.887,126
intp,4688586,0.00001s,[13],0.00008s,0.00902s,[80],2.455,[22],3.474,[78],2.914,126
nh_diagnostics,2873808,0.00000s,[0],0.00020s,0.04858s,[86],4.103,[120],4.847,[5],4.670,126
diagnose_pres_temp,378504,0.00000s,[0],0.00050s,0.01331s,[36],1.068,[125],1.616,[7],1.489,126
model_init,378,0.21293s,[13],1.0602s,1.7744s,[33],3.157,[104],3.200,[7],3.181,126
upper_atmosphere,504,0.00000s,[0],0.00126s,0.00663s,[61],0.003,[6],0.008,[57],0.005,126
write_restart,151452,0.00974s,[2],0.04615s,1.0323s,[121],54.674,[0],56.632,[123],55.470,126
