# dedicated PEs,Get MB/s avg,Write MB/s avg
0io,0,0
1io,3677.233012489593,266.3323663613656
2io,2446.368966694422,264.3800108243131
4io,2667.715347210662,330.1925095753541
8io,3111.918248126559,489.93016153205684
16io,3564.006147377184,475.6341257285592
32io,4105.456194004993,440.9211731890092
