# dedicated PEs,Get MB/s avg,Write MB/s avg
0io,0,0
1io,2059.52987593672,400.2840549542043
2io,1995.0564721065778,287.61815070774344
4io,1613.7782314737747,333.41521565362183
8io,2298.2769758534514,446.04777268942587
16io,1920.8016977518723,502.9996086594506
32io,2179.3530291423785,424.88715903413834
