name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,126,23m46s,[82],23m46s,23m46s,[54],1426.975,[82],1426.977,[54],1426.976,126
exch_data,29360520,0.00000s,[3],0.00095s,0.76779s,[124],153.050,[12],473.439,[122],221.229,126
global_sum,908460,0.00000s,[33],0.00001s,0.02665s,[66],0.062,[7],0.237,[0],0.095,126
ordglb_sum,925218,0.00000s,[0],0.00856s,0.76947s,[72],5.539,[124],92.069,[77],62.856,126
wrt_output,151326,0.00224s,[12],0.02547s,5.3264s,[0],30.407,[7],31.335,[120],30.584,126
physics,907326,0.01461s,[65],0.08579s,0.89024s,[53],614.069,[0],620.095,[44],617.750,126
intp,4688460,0.00001s,[0],0.00008s,0.00389s,[65],1.865,[115],3.366,[57],2.877,126
nh_diagnostics,3175830,0.00000s,[0],0.00050s,0.02540s,[120],11.521,[120],12.846,[1],12.582,126
diagnose_pres_temp,378378,0.00000s,[0],0.00051s,0.00632s,[65],1.064,[124],1.656,[7],1.519,126
model_init,378,0.76094s,[0],1.1147s,1.8016s,[76],3.330,[73],3.363,[50],3.344,126
upper_atmosphere,504,0.00000s,[0],0.00090s,0.00752s,[24],0.001,[62],0.008,[40],0.004,126
write_restart,252,0.00000s,[57],0.00126s,0.00435s,[73],0.000,[72],0.005,[78],0.003,126
