name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,254,12m24s,[95],12m24s,12m24s,[158],744.680,[95],744.712,[158],744.691,254
exch_data,59187080,0.00000s,[22],0.00055s,0.44495s,[252],95.657,[32],195.287,[253],127.062,254
global_sum,1831340,0.00000s,[43],0.00002s,0.05405s,[52],0.096,[5],0.585,[0],0.167,254
ordglb_sum,1865122,0.00001s,[22],0.00790s,0.46276s,[35],7.490,[253],82.768,[152],57.980,254
wrt_output,305054,0.00098s,[32],0.06850s,7.2867s,[0],81.954,[224],82.694,[5],82.265,254
physics,1829054,0.00735s,[240],0.04777s,0.52481s,[43],341.315,[252],346.202,[127],343.968,254
intp,9451340,0.00000s,[97],0.00004s,0.00829s,[240],1.088,[195],1.816,[71],1.388,254
nh_diagnostics,6402070,0.00000s,[0],0.00026s,0.06753s,[252],6.235,[5],7.030,[231],6.679,254
diagnose_pres_temp,762762,0.00000s,[0],0.00016s,0.00733s,[35],0.427,[197],0.538,[120],0.476,254
model_init,762,0.68132s,[112],1.1976s,2.0319s,[207],3.580,[210],3.632,[52],3.593,254
upper_atmosphere,1016,0.00000s,[35],0.00137s,0.00947s,[12],0.002,[234],0.011,[95],0.005,254
write_restart,508,0.00000s,[58],0.00089s,0.00380s,[197],0.000,[194],0.004,[197],0.002,254
