name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,2046,05m33s,[468],05m33s,05m33s,[38],333.647,[468],333.680,[38],333.657,2046
exch_data,476758920,0.00000s,[42],0.00019s,0.30672s,[446],25.787,[574],97.315,[2040],44.625,2046
global_sum,14751660,0.00000s,[41],0.00001s,0.06646s,[2009],0.022,[535],0.860,[0],0.060,2046
ordglb_sum,15023778,0.00002s,[27],0.00687s,0.31247s,[25],15.287,[1022],55.657,[699],50.413,2046
wrt_output,4092,18.9975s,[2],32.1045s,45.1893s,[0],64.150,[2],64.231,[1886],64.209,2046
physics,14733246,0.00350s,[1232],0.02490s,0.35937s,[1535],176.115,[0],180.422,[865],179.339,2046
intp,73719426,0.00000s,[1],0.00001s,0.01413s,[1024],0.360,[2043],0.528,[1192],0.438,2046
nh_diagnostics,44250888,0.00000s,[0],0.00002s,0.01516s,[1024],0.336,[1346],0.531,[1460],0.398,2046
diagnose_pres_temp,3731904,0.00000s,[0],0.00000s,0.00444s,[1528],0.004,[691],0.010,[1528],0.005,2046
model_init,6138,1.6493s,[12],8.3594s,19.6034s,[1534],25.024,[5],25.150,[2009],25.078,2046
upper_atmosphere,8184,0.00000s,[7],0.00118s,0.00913s,[335],0.001,[1913],0.011,[1270],0.005,2046
write_restart,45012,0.00229s,[1],0.35780s,7.6274s,[1008],7.833,[0],7.888,[4],7.872,2046
