name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,512,01h16m,[371],01h16m,01h16m,[180],4587.314,[371],4587.351,[180],4587.330,512
exch_data,119306240,0.00000s,[439],0.00150s,1.9785s,[421],212.806,[384],512.932,[321],349.929,512
global_sum,3691520,0.00000s,[143],0.00016s,0.44258s,[415],0.810,[85],2.962,[256],1.127,512
ordglb_sum,3759616,0.00001s,[266],0.02487s,2.0950s,[442],52.138,[145],243.307,[106],182.607,512
wrt_output,614912,2.1992s,[110],2.4464s,8.8195s,[149],2935.891,[448],2945.409,[412],2938.096,512
physics,3686912,0.01423s,[80],0.10557s,2.2569s,[395],744.438,[5],773.355,[115],760.213,512
intp,19051520,0.00001s,[114],0.00008s,0.02145s,[494],2.361,[163],3.692,[445],2.906,512
nh_diagnostics,12904960,0.00000s,[0],0.00069s,0.35802s,[147],14.595,[230],23.004,[272],17.302,512
diagnose_pres_temp,1537536,0.00000s,[0],0.00057s,0.03679s,[402],1.288,[289],2.477,[257],1.698,512
model_init,1536,0.36396s,[3],2.5620s,3.9694s,[415],7.671,[394],7.711,[436],7.686,512
upper_atmosphere,2048,0.00000s,[238],0.00161s,0.00938s,[370],0.002,[246],0.013,[404],0.006,512
write_restart,1024,0.00000s,[341],0.00368s,0.02486s,[131],0.001,[236],0.027,[139],0.007,512
