name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,248,12m40s,[159],12m40s,12m40s,[156],760.635,[159],760.666,[156],760.648,248
exch_data,57788960,0.00000s,[141],0.00074s,0.34413s,[83],110.042,[32],274.453,[247],173.238,248
global_sum,1788080,0.00000s,[7],0.00006s,0.05594s,[47],0.084,[5],1.054,[0],0.420,248
ordglb_sum,1821064,0.00001s,[115],0.00768s,0.35909s,[12],8.817,[162],130.234,[150],56.364,248
wrt_output,297848,0.00104s,[129],0.00703s,0.17287s,[5],6.093,[124],10.346,[20],8.445,248
physics,1785848,0.00744s,[176],0.05449s,0.43586s,[98],386.069,[183],399.029,[216],392.365,248
intp,9228080,0.00000s,[223],0.00004s,0.00642s,[129],0.893,[240],1.779,[163],1.407,248
nh_diagnostics,6250840,0.00000s,[0],0.00037s,0.02116s,[242],6.466,[20],12.874,[127],9.316,248
diagnose_pres_temp,744744,0.00000s,[0],0.00025s,0.01035s,[49],0.435,[213],1.251,[167],0.753,248
model_init,744,0.67822s,[179],1.2964s,1.9787s,[110],3.871,[94],3.935,[106],3.889,248
upper_atmosphere,992,0.00000s,[32],0.00157s,0.00864s,[1],0.002,[60],0.010,[109],0.006,248
write_restart,496,0.00000s,[43],0.00088s,0.00385s,[203],0.000,[23],0.004,[203],0.002,248
