name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,248,48m59s,[205],48m59s,48m59s,[234],2939.517,[205],2939.529,[234],2939.524,248
exch_data,57788960,0.00000s,[1],0.00175s,0.45086s,[63],239.452,[221],1261.860,[247],408.040,248
global_sum,1788080,0.00000s,[1],0.00005s,0.02546s,[20],0.170,[3],1.112,[0],0.354,248
ordglb_sum,1821064,0.00001s,[95],0.02532s,0.42128s,[14],16.091,[162],265.020,[150],185.954,248
wrt_output,496,1.8248s,[9],1.8686s,1.9091s,[99],3.730,[242],3.750,[17],3.737,248
physics,1785848,0.03054s,[164],0.17473s,0.66369s,[79],1248.460,[0],1272.757,[245],1258.238,248
intp,8935688,0.00001s,[15],0.00018s,0.00890s,[5],3.346,[245],8.174,[226],6.429,248
nh_diagnostics,5363744,0.00000s,[0],0.00020s,0.02064s,[208],3.405,[247],4.898,[148],4.433,248
diagnose_pres_temp,452352,0.00000s,[0],0.00011s,0.00504s,[66],0.038,[241],0.355,[8],0.205,248
model_init,744,0.29527s,[65],2.1211s,3.1607s,[65],6.332,[25],6.405,[0],6.363,248
upper_atmosphere,992,0.00000s,[29],0.00073s,0.00442s,[22],0.001,[59],0.005,[22],0.003,248
write_restart,5456,0.02580s,[204],0.17958s,3.1510s,[62],3.856,[144],4.020,[57],3.951,248
