name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,124,24m22s,[9],24m22s,24m22s,[117],1462.229,[9],1462.235,[117],1462.232,124
exch_data,28894480,0.00000s,[6],0.00107s,0.53316s,[56],180.823,[76],593.892,[122],248.278,124
global_sum,894040,0.00000s,[123],0.00003s,0.02155s,[31],0.150,[85],0.366,[0],0.201,124
ordglb_sum,910532,0.00000s,[46],0.00904s,0.51948s,[46],10.346,[118],98.202,[74],66.364,124
wrt_output,248,0.40698s,[70],0.57416s,0.73865s,[21],1.144,[26],1.154,[102],1.148,124
physics,892924,0.01499s,[64],0.08993s,0.75284s,[26],643.788,[0],649.562,[121],647.606,124
intp,4614164,0.00001s,[3],0.00009s,0.00754s,[64],2.055,[115],3.760,[30],3.163,124
nh_diagnostics,2828192,0.00000s,[0],0.00023s,0.06923s,[121],3.820,[121],5.391,[57],5.162,124
diagnose_pres_temp,372496,0.00000s,[0],0.00051s,0.01674s,[63],0.759,[121],1.666,[5],1.537,124
model_init,372,0.18828s,[63],1.0211s,1.6993s,[28],3.035,[63],3.094,[44],3.063,124
upper_atmosphere,496,0.00000s,[0],0.00098s,0.00647s,[82],0.002,[2],0.008,[19],0.004,124
write_restart,149048,0.00971s,[96],0.01683s,2.8274s,[121],19.002,[0],21.803,[120],20.225,124
