name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,508,07m24s,[293],07m24s,07m24s,[236],444.841,[293],444.844,[236],444.842,508
exch_data,118374160,0.00000s,[2],0.00022s,0.92273s,[507],34.853,[64],87.745,[506],50.167,508
global_sum,3662680,0.00000s,[35],0.00001s,0.06299s,[16],0.024,[161],0.450,[0],0.055,508
ordglb_sum,3730244,0.00002s,[185],0.00490s,0.92358s,[372],5.642,[253],44.171,[87],35.991,508
wrt_output,610108,0.00049s,[441],0.13162s,7.4138s,[504],157.697,[127],158.230,[207],158.073,508
physics,3658108,0.00367s,[352],0.02447s,0.96214s,[498],173.711,[0],177.015,[381],176.220,508
intp,18912840,0.00000s,[3],0.00001s,0.00594s,[352],0.417,[190],0.570,[271],0.482,508
nh_diagnostics,12814300,0.00000s,[0],0.00012s,0.07374s,[368],2.698,[89],3.363,[121],2.914,508
diagnose_pres_temp,1535684,0.00000s,[0],0.00007s,0.05751s,[106],0.177,[204],0.304,[127],0.207,508
model_init,1524,0.57350s,[97],1.2458s,2.2736s,[32],3.721,[308],3.791,[16],3.737,508
upper_atmosphere,2032,0.00000s,[75],0.00109s,0.00870s,[76],0.001,[314],0.010,[397],0.004,508
write_restart,11176,0.00240s,[0],0.06040s,0.98076s,[305],1.263,[250],1.354,[57],1.329,508
