name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,248,11m39s,[13],11m39s,11m39s,[74],699.350,[13],699.356,[74],699.353,248
exch_data,57788960,0.00000s,[49],0.00059s,0.50271s,[26],91.688,[96],212.520,[247],137.953,248
global_sum,1788080,0.00000s,[33],0.00002s,0.03049s,[34],0.016,[89],0.382,[0],0.119,248
ordglb_sum,1821064,0.00001s,[0],0.00767s,0.50821s,[148],7.356,[246],92.404,[150],56.357,248
wrt_output,496,0.67891s,[83],0.71229s,0.74207s,[246],1.419,[15],1.433,[161],1.425,248
physics,1785848,0.00731s,[144],0.04894s,0.53083s,[48],350.556,[32],353.987,[64],352.393,248
intp,9228328,0.00000s,[4],0.00004s,0.00807s,[144],1.084,[240],1.745,[163],1.425,248
nh_diagnostics,5656384,0.00000s,[0],0.00010s,0.12826s,[244],1.609,[95],2.962,[113],2.264,248
diagnose_pres_temp,744992,0.00000s,[0],0.00015s,0.00818s,[111],0.382,[206],0.536,[118],0.453,248
model_init,744,0.21027s,[22],1.8937s,4.1462s,[23],5.648,[78],5.708,[119],5.681,248
upper_atmosphere,992,0.00000s,[26],0.00124s,0.00792s,[32],0.001,[168],0.009,[187],0.005,248
write_restart,298096,0.00485s,[109],0.01665s,2.2469s,[244],19.037,[8],20.926,[206],20.015,248
