name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,123,24m55s,[15],24m55s,24m55s,[99],1495.663,[15],1495.666,[99],1495.664,123
exch_data,28661460,0.00000s,[41],0.00105s,0.87153s,[15],153.463,[12],700.900,[121],243.784,123
global_sum,886830,0.00000s,[113],0.00002s,0.27171s,[0],0.057,[122],0.504,[0],0.125,123
ordglb_sum,903189,0.00000s,[48],0.00889s,0.86067s,[22],9.709,[61],96.756,[111],65.305,123
wrt_output,147723,0.00228s,[30],0.05748s,6.8023s,[120],68.840,[30],70.493,[121],69.035,123
physics,885723,0.01446s,[12],0.08756s,0.99911s,[5],627.866,[6],634.985,[122],630.499,123
intp,4579290,0.00001s,[2],0.00008s,0.12812s,[121],1.738,[120],3.696,[33],3.018,123
nh_diagnostics,3102675,0.00000s,[0],0.00050s,0.01348s,[59],10.540,[121],13.013,[30],12.708,123
diagnose_pres_temp,371829,0.00000s,[0],0.00050s,0.00608s,[12],0.604,[120],1.674,[60],1.515,123
model_init,369,0.70471s,[78],1.0775s,1.7805s,[89],3.218,[78],3.259,[68],3.232,123
upper_atmosphere,492,0.00000s,[73],0.00089s,0.00782s,[18],0.001,[64],0.009,[18],0.004,123
write_restart,2706,0.00918s,[1],0.05362s,0.85522s,[1],1.164,[0],1.196,[122],1.180,123
