name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,126,33m45s,[89],33m45s,33m45s,[107],2025.515,[89],2025.520,[107],2025.517,126
exch_data,29360520,0.00000s,[2],0.00091s,0.21863s,[105],154.465,[12],378.237,[120],211.999,126
global_sum,908460,0.00000s,[83],0.00003s,0.04228s,[8],0.158,[37],0.352,[0],0.199,126
ordglb_sum,925218,0.00000s,[0],0.00932s,0.20944s,[97],5.516,[125],100.468,[77],68.452,126
wrt_output,252,0.43077s,[65],0.61724s,0.80132s,[32],1.230,[65],1.240,[114],1.234,126
physics,907326,0.01425s,[16],0.08824s,1.1144s,[82],632.580,[0],636.646,[68],635.409,126
intp,4688586,0.00001s,[5],0.00008s,0.00637s,[16],2.104,[115],3.754,[125],2.996,126
nh_diagnostics,2873808,0.00000s,[0],0.00021s,0.03853s,[61],4.392,[82],4.855,[76],4.721,126
diagnose_pres_temp,378504,0.00000s,[0],0.00051s,0.00493s,[67],1.404,[125],1.624,[6],1.532,126
model_init,378,0.19512s,[116],1.0320s,1.7190s,[103],3.073,[112],3.122,[8],3.096,126
upper_atmosphere,504,0.00000s,[69],0.00109s,0.00748s,[122],0.002,[101],0.009,[117],0.004,126
write_restart,151452,0.00891s,[0],0.51445s,9.0496s,[124],618.254,[0],618.515,[122],618.369,126
