# dedicated PEs,Get MB/s avg,Write MB/s avg
0io,0,0
1io,2157.2766609275163,447.5272454873641
2io,2009.806590113858,358.43438544848584
4io,1749.4382438211596,250.18230658150458
8io,2070.10041738406,404.9239511246879
16io,2329.664435712303,518.3281135795617
32io,2539.7208658705968,519.3505242988058
