# dedicated PEs,Get MB/s avg,Write MB/s avg
0io,0,0
1io,3583.7435387392325,334.0948008886427
2io,2864.8060821993963,270.1471030269364
4io,3217.3637572896414,336.8632224382119
8io,3662.0105726187153,480.9367886698149
16io,4120.616113301862,549.0007075812276
32io,4603.362462926973,590.0707392391012
