name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,127,34m56s,[119],34m56s,34m56s,[61],2096.866,[119],2096.871,[61],2096.868,127
exch_data,29593540,0.00000s,[58],0.00105s,0.28627s,[46],174.108,[12],363.280,[41],243.641,127
global_sum,915670,0.00000s,[5],0.00002s,0.02053s,[27],0.083,[47],0.265,[0],0.122,127
ordglb_sum,932561,0.00000s,[66],0.01014s,0.30230s,[13],4.628,[121],107.620,[74],74.485,127
wrt_output,254,0.43091s,[0],0.54877s,0.66369s,[115],1.093,[0],1.103,[50],1.098,127
physics,914527,0.01508s,[81],0.08804s,0.88504s,[52],630.259,[124],637.449,[74],633.980,127
intp,4725797,0.00001s,[2],0.00008s,0.00945s,[81],2.503,[36],3.807,[31],3.039,127
nh_diagnostics,2896616,0.00000s,[0],0.00019s,0.06916s,[124],4.177,[84],4.742,[125],4.401,127
diagnose_pres_temp,381508,0.00000s,[0],0.00048s,0.00962s,[9],1.369,[32],1.565,[123],1.450,127
model_init,381,0.19325s,[32],2.8864s,7.2656s,[9],8.636,[54],8.704,[0],8.659,127
upper_atmosphere,508,0.00000s,[73],0.00108s,0.00731s,[96],0.001,[110],0.009,[96],0.004,127
write_restart,152654,0.01394s,[35],0.57680s,3.7714s,[124],693.052,[126],693.421,[32],693.308,127
