# dedicated PEs,Get MB/s avg,Write MB/s avg
0io,0,0
1io,3256.1110366361418,276.25830058284737
2io,3062.782425478775,326.5875545378857
4io,3371.0797527060795,400.62447293921736
8io,3819.7067626977514,539.3401207327222
16io,4259.477243963363,567.4591315570365
32io,5043.551472106578,625.1752447960026
