name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,252,27m13s,[89],27m13s,27m13s,[2],1633.760,[89],1633.766,[2],1633.763,252
exch_data,58721040,0.00000s,[53],0.00087s,0.59492s,[85],102.297,[40],337.332,[211],203.003,252
global_sum,1816920,0.00000s,[7],0.00002s,0.02470s,[2],0.072,[1],0.546,[0],0.148,252
ordglb_sum,1850436,0.00001s,[141],0.00937s,0.62879s,[74],11.166,[125],177.526,[145],68.781,252
wrt_output,504,0.64008s,[75],0.74138s,0.83686s,[115],1.473,[75],1.494,[167],1.483,252
physics,1814652,0.00734s,[223],0.06122s,0.66861s,[85],433.109,[37],447.574,[63],440.810,252
intp,9377172,0.00000s,[35],0.00004s,0.00546s,[223],0.852,[248],1.666,[165],1.341,252
nh_diagnostics,5747616,0.00000s,[0],0.00021s,0.15467s,[250],2.302,[19],7.935,[165],4.816,252
diagnose_pres_temp,757008,0.00000s,[0],0.00034s,0.00956s,[44],0.469,[221],1.695,[114],1.008,252
model_init,756,0.22539s,[75],1.2388s,2.1713s,[75],3.692,[246],3.740,[65],3.716,252
upper_atmosphere,1008,0.00000s,[17],0.00154s,0.00943s,[159],0.002,[62],0.011,[159],0.006,252
write_restart,302904,0.01305s,[204],0.67558s,1.2800s,[183],809.937,[63],813.857,[23],812.048,252
