name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,255,27m18s,[166],27m18s,27m18s,[15],1638.081,[166],1638.086,[15],1638.084,255
exch_data,59420100,0.00000s,[88],0.00051s,1.0368s,[206],88.241,[53],180.403,[159],118.844,255
global_sum,1838550,0.00000s,[35],0.00001s,0.03825s,[36],0.023,[91],0.328,[0],0.102,255
ordglb_sum,1872465,0.00001s,[31],0.00736s,1.0770s,[153],5.520,[254],84.602,[153],54.061,255
wrt_output,510,0.63945s,[65],0.72008s,0.79614s,[126],1.434,[65],1.449,[190],1.440,255
physics,1836255,0.00742s,[240],0.04655s,1.1009s,[125],333.405,[253],336.678,[76],335.208,255
intp,9488805,0.00000s,[35],0.00004s,0.00651s,[129],1.040,[200],1.736,[167],1.387,255
nh_diagnostics,5816040,0.00000s,[0],0.00009s,0.08058s,[101],1.560,[145],2.471,[254],2.020,255
diagnose_pres_temp,766020,0.00000s,[0],0.00014s,0.00683s,[129],0.375,[150],0.474,[247],0.422,255
model_init,765,0.20224s,[43],1.1870s,2.0199s,[197],3.537,[49],3.593,[47],3.561,255
upper_atmosphere,1020,0.00000s,[8],0.00123s,0.00838s,[207],0.001,[86],0.010,[174],0.005,255
write_restart,306510,0.00728s,[73],0.82855s,1.6700s,[162],995.607,[252],996.188,[154],995.923,255
