name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,255,47m35s,[95],47m35s,47m35s,[237],2855.954,[95],2855.966,[237],2855.961,255
exch_data,59420100,0.00000s,[3],0.00175s,0.53708s,[33],277.927,[58],1150.426,[251],407.473,255
global_sum,1838550,0.00000s,[91],0.00005s,0.02925s,[48],0.177,[1],1.089,[0],0.363,255
ordglb_sum,1872465,0.00001s,[101],0.02507s,0.44434s,[149],16.447,[125],264.284,[228],184.072,255
wrt_output,510,1.7512s,[76],1.7970s,1.8404s,[10],3.585,[247],3.603,[75],3.594,255
physics,1836255,0.02899s,[128],0.16994s,0.68806s,[78],1215.926,[221],1233.077,[250],1223.716,255
intp,9187905,0.00001s,[193],0.00017s,0.01189s,[176],3.703,[251],8.036,[225],6.235,255
nh_diagnostics,5515140,0.00000s,[0],0.00020s,0.02013s,[237],4.119,[35],4.728,[218],4.428,255
diagnose_pres_temp,465120,0.00000s,[0],0.00012s,0.00704s,[161],0.079,[248],0.330,[94],0.228,255
model_init,765,0.29603s,[112],1.8267s,2.8093s,[66],5.446,[7],5.526,[6],5.480,255
upper_atmosphere,1020,0.00000s,[9],0.00077s,0.00751s,[252],0.001,[157],0.008,[182],0.003,255
write_restart,5610,0.02439s,[77],0.41546s,8.3668s,[2],9.044,[208],9.226,[191],9.140,255
