name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,254,29m08s,[130],29m08s,29m08s,[4],1748.411,[130],1748.424,[4],1748.419,254
exch_data,59187080,0.00000s,[22],0.00086s,0.53119s,[82],109.548,[40],331.083,[71],199.698,254
global_sum,1831340,0.00000s,[5],0.00003s,0.04069s,[240],0.064,[1],0.587,[0],0.184,254
ordglb_sum,1865122,0.00001s,[3],0.00988s,0.54284s,[152],9.615,[253],182.252,[150],72.556,254
wrt_output,508,1.4483s,[14],1.7799s,2.1080s,[229],3.551,[20],3.571,[223],3.560,254
physics,1829054,0.00737s,[208],0.06204s,0.59332s,[21],438.947,[101],452.881,[73],446.774,254
intp,9451594,0.00000s,[43],0.00004s,0.00779s,[208],1.040,[250],1.723,[71],1.344,254
nh_diagnostics,5793232,0.00000s,[0],0.00022s,0.04282s,[232],2.285,[5],8.285,[245],4.974,254
diagnose_pres_temp,763016,0.00000s,[0],0.00036s,0.01788s,[252],0.501,[82],1.797,[62],1.081,254
model_init,762,0.28892s,[9],1.5632s,2.2812s,[61],4.653,[1],4.724,[244],4.689,254
upper_atmosphere,1016,0.00000s,[0],0.00148s,0.00908s,[131],0.002,[7],0.010,[131],0.006,254
write_restart,305308,0.01345s,[26],0.76291s,1.6699s,[69],914.772,[166],919.103,[6],917.020,254
