name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,254,50m32s,[89],50m32s,50m32s,[201],3032.556,[89],3032.588,[201],3032.569,254
exch_data,59187080,0.00000s,[63],0.00189s,1.2385s,[114],268.362,[40],892.513,[250],441.137,254
global_sum,1831340,0.00000s,[137],0.00007s,0.20100s,[0],0.196,[1],1.615,[0],0.496,254
ordglb_sum,1865122,0.00001s,[207],0.02987s,1.2220s,[9],19.644,[252],321.104,[152],219.371,254
wrt_output,305054,0.00447s,[146],0.04769s,5.3975s,[169],56.374,[32],58.361,[27],57.281,254
physics,1829054,0.02968s,[48],0.17844s,1.4739s,[106],1276.590,[9],1294.526,[142],1284.962,254
intp,9451340,0.00001s,[1],0.00018s,0.01946s,[49],4.552,[21],8.398,[64],6.616,254
nh_diagnostics,6402070,0.00000s,[0],0.00112s,0.67610s,[253],26.967,[27],29.589,[121],28.280,254
diagnose_pres_temp,762762,0.00000s,[0],0.00110s,0.00957s,[109],2.812,[249],3.572,[135],3.307,254
model_init,762,0.96785s,[75],1.6752s,2.9791s,[13],5.012,[187],5.040,[11],5.026,254
upper_atmosphere,1016,0.00000s,[72],0.00079s,0.00447s,[201],0.001,[136],0.006,[52],0.003,254
write_restart,508,0.00000s,[4],0.00414s,0.01601s,[253],0.000,[159],0.017,[250],0.008,254
