name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,503,05m29s,[214],05m29s,05m29s,[132],329.339,[214],329.342,[132],329.340,503
exch_data,117209060,0.00000s,[29],0.00021s,0.24733s,[94],33.020,[224],94.170,[499],47.831,503
global_sum,3626630,0.00000s,[3],0.00001s,0.05339s,[198],0.019,[19],0.493,[0],0.051,503
ordglb_sum,3693529,0.00001s,[128],0.00461s,0.26873s,[453],6.475,[250],40.164,[451],33.862,503
wrt_output,604103,0.00049s,[9],0.03940s,6.0212s,[390],47.117,[250],47.411,[430],47.316,503
physics,3622103,0.00374s,[337],0.02418s,0.31983s,[108],172.277,[0],175.063,[457],174.156,503
intp,18726690,0.00000s,[1],0.00001s,0.02536s,[502],0.396,[498],0.584,[234],0.480,503
nh_diagnostics,12688175,0.00000s,[0],0.00011s,0.01946s,[499],2.693,[314],3.076,[115],2.822,503
diagnose_pres_temp,1520569,0.00000s,[0],0.00006s,0.00390s,[101],0.174,[298],0.240,[250],0.189,503
model_init,1509,0.56449s,[457],1.3372s,2.2051s,[417],3.993,[286],4.044,[198],4.012,503
upper_atmosphere,2012,0.00000s,[188],0.00109s,0.00835s,[191],0.001,[436],0.009,[191],0.004,503
write_restart,11066,0.00239s,[2],0.06748s,1.2456s,[448],1.463,[352],1.495,[333],1.485,503
