name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,480,27m21s,[139],27m21s,27m21s,[12],1641.378,[139],1641.414,[12],1641.387,480
exch_data,111849600,0.00000s,[32],0.00137s,1.9473s,[136],174.145,[248],522.437,[16],319.011,480
global_sum,3460800,0.00000s,[1],0.00006s,0.05020s,[262],0.197,[85],2.231,[0],0.439,480
ordglb_sum,3524640,0.00001s,[134],0.02133s,1.9524s,[47],22.751,[478],222.509,[422],156.659,480
wrt_output,576480,0.00239s,[315],0.01059s,0.11737s,[134],9.532,[120],13.855,[263],12.721,480
physics,3456480,0.01452s,[432],0.10359s,2.0877s,[331],737.080,[104],753.511,[331],745.928,480
intp,17860800,0.00001s,[10],0.00008s,0.00941s,[352],2.395,[341],3.993,[301],3.100,480
nh_diagnostics,12098400,0.00000s,[0],0.00063s,0.18450s,[241],14.060,[263],21.663,[240],15.834,480
diagnose_pres_temp,1441440,0.00000s,[0],0.00055s,0.02519s,[122],1.167,[380],1.999,[315],1.639,480
model_init,1440,0.81206s,[354],2.2862s,3.0878s,[244],6.831,[449],6.893,[151],6.859,480
upper_atmosphere,1920,0.00000s,[214],0.00095s,0.00898s,[74],0.001,[225],0.010,[450],0.004,480
write_restart,960,0.00000s,[45],0.00110s,0.00865s,[87],0.000,[214],0.009,[456],0.002,480
