name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,255,13m56s,[31],13m56s,13m56s,[180],836.773,[31],836.807,[180],836.795,255
exch_data,59420100,0.00000s,[5],0.00054s,0.83223s,[214],88.242,[26],181.960,[159],124.996,255
global_sum,1838550,0.00000s,[7],0.00002s,0.02881s,[162],0.072,[5],0.525,[0],0.146,255
ordglb_sum,1872465,0.00001s,[83],0.00770s,0.84633s,[55],5.104,[253],81.974,[196],56.549,255
wrt_output,306255,0.00100s,[139],0.14734s,7.3648s,[224],176.664,[249],177.292,[251],176.954,255
physics,1836255,0.00715s,[48],0.04720s,0.90601s,[150],337.833,[69],341.683,[191],339.892,255
intp,9488550,0.00000s,[76],0.00004s,0.01553s,[252],1.054,[99],1.705,[126],1.363,255
nh_diagnostics,6427275,0.00000s,[0],0.00026s,0.08745s,[253],6.218,[5],6.975,[253],6.669,255
diagnose_pres_temp,765765,0.00000s,[0],0.00017s,0.09385s,[254],0.451,[109],0.674,[254],0.505,255
model_init,765,0.67873s,[0],1.1537s,2.0325s,[121],3.448,[211],3.478,[2],3.461,255
upper_atmosphere,1020,0.00000s,[219],0.00147s,0.00950s,[205],0.002,[31],0.011,[198],0.006,255
write_restart,510,0.00000s,[31],0.00097s,0.00501s,[81],0.000,[31],0.005,[47],0.002,255
