name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,512,31m14s,[448],31m14s,31m16s,[0],1874.768,[448],1876.124,[0],1874.773,512
exch_data,119306240,0.00000s,[369],0.00699s,31.1600s,[511],45.412,[334],1667.871,[339],1628.407,512
global_sum,3691520,0.00000s,[19],0.00001s,0.04545s,[241],0.024,[39],0.388,[0],0.051,512
ordglb_sum,3759616,0.00001s,[284],0.00487s,0.41182s,[116],6.850,[17],43.369,[183],35.737,512
wrt_output,1024,1.5594s,[496],1.7019s,1.8435s,[349],3.388,[159],3.417,[35],3.404,512
physics,3686912,0.00363s,[465],0.02392s,0.45256s,[103],169.412,[0],173.215,[101],172.212,512
intp,19052032,0.00000s,[1],0.00001s,0.00267s,[465],0.421,[30],0.572,[447],0.482,512
nh_diagnostics,11677696,0.00000s,[0],0.00004s,0.09159s,[28],0.759,[339],1.225,[130],0.920,512
diagnose_pres_temp,1538048,0.00000s,[0],0.00007s,0.00492s,[456],0.181,[304],0.238,[272],0.200,512
model_init,1536,0.27766s,[144],1.5271s,2.1821s,[342],4.556,[201],4.618,[241],4.581,512
upper_atmosphere,2048,0.00000s,[60],0.00121s,0.00870s,[453],0.001,[260],0.010,[453],0.005,512
write_restart,615424,0.00264s,[447],0.00742s,31.1621s,[0],5.523,[1],1593.916,[0],8.914,512
