name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,2040,05m42s,[1955],05m42s,05m42s,[1],342.504,[1955],342.523,[1],342.511,2040
exch_data,475360800,0.00000s,[2],0.00020s,0.34795s,[1338],27.252,[1312],98.308,[2035],45.650,2040
global_sum,14708400,0.00000s,[63],0.00001s,0.05819s,[1229],0.032,[1539],0.853,[0],0.064,2040
ordglb_sum,14979720,0.00002s,[1300],0.00701s,0.38019s,[1786],18.268,[1338],57.045,[1787],51.508,2040
wrt_output,4080,22.2820s,[1],35.5692s,48.8475s,[0],71.094,[1],71.160,[1955],71.138,2040
physics,14690040,0.00369s,[1537],0.02523s,0.41514s,[1792],178.331,[0],182.807,[1996],181.655,2040
intp,73503240,0.00000s,[4],0.00001s,0.00424s,[1152],0.365,[2036],0.550,[1019],0.439,2040
nh_diagnostics,44121120,0.00000s,[0],0.00002s,0.01296s,[1007],0.332,[1278],0.543,[1204],0.397,2040
diagnose_pres_temp,3720960,0.00000s,[0],0.00000s,0.00446s,[1533],0.004,[1942],0.013,[2032],0.005,2040
model_init,6120,1.6627s,[6],9.7096s,22.8845s,[1853],29.090,[1],29.181,[1758],29.129,2040
upper_atmosphere,8160,0.00000s,[47],0.00114s,0.00828s,[1003],0.001,[1858],0.010,[134],0.005,2040
write_restart,44880,0.00230s,[1],0.61593s,11.7778s,[493],13.519,[2019],13.568,[337],13.550,2040
