name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,127,01h38m,[47],01h38m,01h38m,[0],5928.641,[47],5928.668,[0],5928.643,127
exch_data,29593540,0.00001s,[2],0.00340s,6.2710s,[3],547.160,[12],1428.879,[123],791.300,127
global_sum,915670,0.00000s,[0],0.00005s,0.02326s,[0],0.282,[65],0.627,[0],0.379,127
ordglb_sum,932561,0.00000s,[32],0.03615s,5.5784s,[54],20.510,[122],426.688,[27],265.447,127
wrt_output,152527,0.00939s,[33],0.03258s,4.8261s,[120],38.755,[31],40.304,[121],39.127,127
physics,914527,0.05973s,[0],0.33864s,6.7384s,[55],2392.856,[92],2490.274,[49],2438.556,127
intp,4725670,0.00002s,[119],0.00041s,0.01190s,[64],11.330,[66],18.733,[31],15.167,127
nh_diagnostics,3201035,0.00000s,[0],0.00213s,0.10672s,[125],52.184,[126],54.325,[108],53.687,127
diagnose_pres_temp,381381,0.00000s,[0],0.00228s,0.04573s,[48],6.193,[120],7.117,[63],6.854,127
model_init,381,0.94742s,[122],1.7561s,2.7765s,[47],5.259,[20],5.283,[5],5.268,127
upper_atmosphere,508,0.00000s,[1],0.00062s,0.00530s,[54],0.001,[109],0.007,[95],0.002,127
write_restart,254,0.00003s,[33],0.02355s,0.04755s,[61],0.045,[82],0.050,[61],0.047,127
