name,# calls,t_min,t_avg,t_max,total min (s),total max (s),total avg (s)
wrt_output,1202,0.00000s,2.6823s,10.2612s,3224.152,3224.152,3224.152
model_init,1,0.00083s,0.00083s,0.00083s,0.001,0.001,0.001
