name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,224,56m02s,[29],56m02s,56m02s,[140],3362.014,[29],3362.046,[140],3362.028,224
exch_data,52196480,0.00000s,[32],0.00227s,2.8275s,[175],312.908,[32],807.304,[65],528.410,224
global_sum,1615040,0.00000s,[1],0.00010s,0.05103s,[58],0.216,[1],1.926,[0],0.742,224
ordglb_sum,1644832,0.00001s,[21],0.02781s,0.77356s,[205],27.075,[63],315.390,[79],204.214,224
wrt_output,269024,0.00503s,[218],0.01117s,1.0661s,[107],12.510,[162],14.811,[75],13.421,224
physics,1613024,0.03285s,[176],0.19805s,1.0288s,[73],1419.697,[115],1432.498,[162],1426.132,224
intp,8335040,0.00001s,[44],0.00021s,0.01032s,[211],5.576,[22],9.600,[95],7.782,224
nh_diagnostics,5645920,0.00000s,[0],0.00130s,1.0669s,[219],30.195,[5],35.321,[188],32.729,224
diagnose_pres_temp,672672,0.00000s,[0],0.00126s,0.01454s,[173],3.264,[122],4.229,[57],3.785,224
model_init,672,1.0981s,[98],2.3538s,3.1670s,[34],7.038,[6],7.098,[120],7.062,224
upper_atmosphere,896,0.00000s,[202],0.00097s,0.00903s,[11],0.001,[54],0.009,[11],0.004,224
write_restart,448,0.00000s,[29],0.00416s,0.01642s,[105],0.000,[0],0.018,[43],0.008,224
