name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,2047,06m22s,[1997],06m22s,06m22s,[1],382.060,[1997],382.069,[1],382.064,2047
exch_data,476991940,0.00000s,[70],0.00019s,0.42292s,[579],24.771,[574],85.909,[2041],44.182,2047
global_sum,14758870,0.00000s,[11],0.00001s,0.06342s,[472],0.018,[63],0.880,[0],0.057,2047
ordglb_sum,15031121,0.00002s,[1545],0.00666s,0.43144s,[1985],13.632,[2042],54.662,[1883],48.880,2047
wrt_output,4094,18.2164s,[2],56.9428s,01m35s,[0],113.846,[2],113.903,[1547],113.886,2047
physics,14740447,0.00354s,[372],0.02463s,0.43972s,[144],174.440,[0],178.632,[873],177.393,2047
intp,73755457,0.00000s,[0],0.00001s,0.00731s,[255],0.374,[1133],0.537,[0],0.440,2047
nh_diagnostics,44272516,0.00000s,[0],0.00002s,0.01053s,[1453],0.332,[1478],0.553,[1462],0.398,2047
diagnose_pres_temp,3733728,0.00000s,[0],0.00000s,0.00451s,[1533],0.004,[1974],0.011,[1010],0.005,2047
model_init,6141,1.6000s,[44],8.1564s,18.7958s,[2014],24.428,[42],24.515,[472],24.469,2047
upper_atmosphere,8188,0.00000s,[34],0.00122s,0.01042s,[482],0.001,[1713],0.012,[482],0.005,2047
write_restart,45034,0.00229s,[2],0.57072s,12.3388s,[2035],12.519,[2025],12.580,[193],12.556,2047
