name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,508,10m54s,[48],10m54s,10m54s,[437],654.696,[48],654.701,[437],654.698,508
exch_data,118374160,0.00000s,[255],0.00027s,0.85764s,[317],37.707,[240],106.344,[426],62.117,508
global_sum,3662680,0.00000s,[1],0.00001s,0.06889s,[98],0.019,[215],0.570,[0],0.077,508
ordglb_sum,3730244,0.00001s,[28],0.00576s,0.86562s,[394],6.734,[253],59.766,[208],42.315,508
wrt_output,1016,1.5169s,[437],1.6141s,1.7078s,[485],3.223,[437],3.238,[231],3.228,508
physics,3658108,0.00373s,[304],0.02663s,0.88809s,[492],189.822,[0],193.525,[159],191.731,508
intp,18903188,0.00000s,[4],0.00001s,0.00764s,[320],0.418,[154],0.586,[320],0.484,508
nh_diagnostics,11586464,0.00000s,[0],0.00005s,0.03546s,[354],0.730,[0],1.974,[498],1.068,508
diagnose_pres_temp,1526032,0.00000s,[0],0.00007s,0.00803s,[482],0.174,[1],0.341,[507],0.211,508
model_init,1524,0.26906s,[198],1.5324s,2.2255s,[215],4.569,[458],4.653,[98],4.597,508
upper_atmosphere,2032,0.00000s,[11],0.00113s,0.00822s,[89],0.001,[46],0.009,[66],0.005,508
write_restart,610616,0.00310s,[104],0.28558s,1.0479s,[504],341.590,[126],344.068,[282],343.268,508
