name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,255,10m28s,[140],10m28s,10m28s,[37],628.424,[140],628.431,[37],628.428,255
exch_data,59420100,0.00000s,[5],0.00049s,0.19442s,[126],81.450,[72],209.753,[253],114.557,255
global_sum,1838550,0.00000s,[7],0.00002s,0.03196s,[19],0.054,[5],0.450,[0],0.119,255
ordglb_sum,1872465,0.00001s,[80],0.00659s,0.20386s,[104],4.730,[39],71.284,[228],48.358,255
wrt_output,510,0.65531s,[76],0.68968s,0.71978s,[64],1.370,[87],1.391,[199],1.379,255
physics,1836255,0.00718s,[16],0.04519s,0.27220s,[58],322.865,[0],326.917,[252],325.386,255
intp,9187905,0.00000s,[45],0.00004s,0.01170s,[224],0.862,[251],1.671,[39],1.285,255
nh_diagnostics,5515140,0.00000s,[0],0.00005s,0.01382s,[86],0.961,[248],1.355,[212],1.150,255
diagnose_pres_temp,465120,0.00000s,[0],0.00004s,0.00546s,[43],0.042,[247],0.118,[19],0.079,255
model_init,765,0.22365s,[140],1.2607s,2.2106s,[60],3.755,[76],3.808,[182],3.782,255
upper_atmosphere,1020,0.00000s,[87],0.00144s,0.01346s,[173],0.002,[183],0.014,[45],0.006,255
write_restart,5610,0.01293s,[202],0.06035s,0.81780s,[234],1.221,[128],1.433,[251],1.328,255
