name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,2040,05m36s,[2023],05m36s,05m36s,[1],336.431,[2023],336.442,[1],336.435,2040
exch_data,475360800,0.00000s,[105],0.00019s,0.30524s,[443],27.174,[60],97.031,[2034],44.544,2040
global_sum,14708400,0.00000s,[53],0.00001s,0.07172s,[700],0.029,[417],0.874,[0],0.059,2040
ordglb_sum,14979720,0.00002s,[1335],0.00666s,0.53965s,[1637],16.052,[2035],54.099,[1876],48.910,2040
wrt_output,4080,19.4416s,[72],33.9967s,48.5565s,[0],67.859,[18],68.021,[1366],67.993,2040
physics,14690040,0.00353s,[1651],0.02478s,0.35361s,[495],175.341,[0],179.774,[227],178.458,2040
intp,73503240,0.00000s,[4],0.00001s,0.00818s,[1108],0.370,[641],0.529,[455],0.438,2040
nh_diagnostics,44121120,0.00000s,[0],0.00002s,0.01076s,[978],0.323,[2036],0.539,[1204],0.396,2040
diagnose_pres_temp,3720960,0.00000s,[0],0.00000s,0.00288s,[510],0.004,[512],0.009,[510],0.005,2040
model_init,6120,1.6575s,[3],8.6481s,20.0310s,[0],25.914,[18],26.000,[1952],25.944,2040
upper_atmosphere,8160,0.00000s,[55],0.00121s,0.01371s,[149],0.001,[1841],0.015,[149],0.005,2040
write_restart,44880,0.00239s,[2],0.06342s,1.0871s,[228],1.284,[0],1.428,[351],1.395,2040
