name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
wrt_output,3609,0.00000s,[0],0.56756s,8.0189s,[2],242.905,[4],264.744,[3],256.041,8
model_init,8,0.00002s,[7],0.00037s,0.00072s,[4],0.000,[7],0.001,[4],0.000,8
