name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,256,01h21m,[18],01h21m,01h21m,[183],4893.451,[18],4893.486,[183],4893.471,256
exch_data,59653120,0.00000s,[2],0.00188s,0.82954s,[185],291.202,[88],662.713,[161],437.712,256
global_sum,1845760,0.00000s,[1],0.00016s,0.40581s,[16],0.783,[37],2.102,[128],1.181,256
ordglb_sum,1879808,0.00001s,[220],0.02628s,0.64416s,[229],26.093,[129],300.273,[228],193.008,256
wrt_output,307456,1.3779s,[3],1.6239s,7.0867s,[93],1949.106,[72],1953.177,[0],1950.334,256
physics,1843456,0.02886s,[211],0.17541s,0.89678s,[100],1255.802,[217],1271.924,[100],1263.098,256
intp,9525760,0.00001s,[162],0.00018s,0.00970s,[211],5.092,[22],7.849,[80],6.609,256
nh_diagnostics,6452480,0.00000s,[0],0.00119s,0.04635s,[137],27.308,[163],32.836,[8],29.950,256
diagnose_pres_temp,768768,0.00000s,[0],0.00100s,0.01035s,[211],2.392,[144],3.473,[127],3.014,256
model_init,768,0.31939s,[198],2.4023s,3.4712s,[1],7.193,[197],7.222,[1],7.207,256
upper_atmosphere,1024,0.00000s,[27],0.00089s,0.00691s,[68],0.001,[230],0.010,[68],0.004,256
write_restart,512,0.00000s,[119],0.00145s,0.00461s,[147],0.001,[184],0.006,[196],0.003,256
