name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,1024,01h34m,[961],01h34m,01h34m,[0],5673.346,[961],5673.440,[0],5673.350,1024
exch_data,238612480,0.00000s,[529],0.00045s,0.99064s,[288],66.983,[795],198.315,[291],104.475,1024
global_sum,7383040,0.00000s,[107],0.00006s,0.40291s,[199],0.412,[417],0.757,[512],0.444,1024
ordglb_sum,7519232,0.00002s,[495],0.01169s,1.0950s,[214],17.905,[673],101.107,[401],85.869,1024
wrt_output,1229824,3.7012s,[148],4.1865s,13.2505s,[775],5025.230,[2],5035.031,[0],5027.992,1024
physics,7373824,0.00699s,[112],0.04663s,1.1580s,[209],329.555,[0],340.184,[464],335.756,1024
intp,38103040,0.00000s,[31],0.00004s,0.00804s,[552],1.099,[633],1.719,[895],1.376,1024
nh_diagnostics,25809920,0.00000s,[0],0.00022s,0.06682s,[769],5.413,[1005],6.278,[4],5.668,1024
diagnose_pres_temp,3075072,0.00000s,[0],0.00014s,0.01321s,[7],0.370,[204],0.550,[2],0.419,1024
model_init,3072,0.48040s,[106],3.0732s,5.3306s,[1],9.202,[417],9.264,[83],9.220,1024
upper_atmosphere,4096,0.00000s,[37],0.00132s,0.00987s,[427],0.001,[586],0.012,[427],0.005,1024
write_restart,2048,0.00000s,[155],0.00356s,0.04455s,[527],0.000,[196],0.048,[258],0.007,1024
