name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,2046,06m03s,[1979],06m03s,06m03s,[1],363.951,[1979],363.972,[1],363.957,2046
exch_data,476758920,0.00000s,[194],0.00019s,0.42361s,[1563],24.748,[574],92.458,[2040],45.000,2046
global_sum,14751660,0.00000s,[39],0.00001s,0.06211s,[2004],0.025,[529],0.839,[0],0.055,2046
ordglb_sum,15023778,0.00002s,[269],0.00661s,0.19754s,[699],14.205,[510],53.919,[760],48.537,2046
wrt_output,4092,22.4382s,[13],48.8385s,01m15s,[0],97.481,[13],97.707,[1886],97.677,2046
physics,14733246,0.00352s,[1328],0.02465s,0.20613s,[1508],174.505,[0],178.938,[865],177.528,2046
intp,73719426,0.00000s,[1],0.00001s,0.00997s,[1328],0.361,[2043],0.530,[1327],0.440,2046
nh_diagnostics,44250888,0.00000s,[0],0.00002s,0.01121s,[4],0.337,[1347],0.556,[186],0.400,2046
diagnose_pres_temp,3731904,0.00000s,[0],0.00000s,0.00683s,[1035],0.004,[1749],0.012,[1560],0.005,2046
model_init,6138,1.7225s,[27],11.1424s,23.0437s,[1870],33.374,[3],33.505,[1479],33.427,2046
upper_atmosphere,8184,0.00000s,[4],0.00122s,0.01021s,[872],0.001,[18],0.011,[872],0.005,2046
write_restart,45012,0.00229s,[320],0.83913s,16.3055s,[1837],18.436,[2037],18.489,[71],18.461,2046
