name,# calls,t_min,t_avg,t_max,total min (s),total max (s),total avg (s)
wrt_output,1202,0.00000s,2.1188s,11.6795s,2546.840,2546.840,2546.840
model_init,1,0.00080s,0.00080s,0.00080s,0.001,0.001,0.001
