name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,240,12m06s,[155],12m06s,12m06s,[49],726.731,[155],726.738,[49],726.734,240
exch_data,55924800,0.00000s,[130],0.00053s,0.43952s,[150],83.785,[126],186.890,[201],124.101,240
global_sum,1730400,0.00000s,[7],0.00001s,0.04526s,[162],0.013,[157],0.295,[0],0.068,240
ordglb_sum,1762320,0.00001s,[12],0.00672s,0.36310s,[11],4.133,[119],68.676,[82],49.362,240
wrt_output,864240,0.00106s,[211],0.01051s,5.3985s,[236],37.078,[127],38.520,[206],37.847,240
physics,1728240,0.00774s,[14],0.04760s,0.51389s,[131],340.964,[45],344.842,[129],342.786,240
intp,9506400,0.00000s,[10],0.00005s,0.00192s,[14],1.392,[21],2.282,[45],1.837,240
nh_diagnostics,7777200,0.00000s,[0],0.00051s,0.02546s,[231],15.948,[203],17.394,[59],16.649,240
diagnose_pres_temp,1296720,0.00000s,[0],0.00026s,0.00474s,[234],1.245,[203],1.690,[127],1.393,240
model_init,720,0.65681s,[158],1.2758s,1.9195s,[83],3.812,[150],3.864,[114],3.827,240
upper_atmosphere,960,0.00000s,[1],0.00109s,0.00696s,[208],0.001,[239],0.008,[159],0.004,240
write_restart,480,0.00000s,[1],0.00106s,0.00442s,[6],0.000,[82],0.004,[6],0.002,240
