name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,248,26m19s,[5],26m19s,26m19s,[4],1579.709,[5],1579.716,[4],1579.712,248
exch_data,57788960,0.00000s,[62],0.00089s,0.73152s,[70],106.635,[172],327.088,[72],206.260,248
global_sum,1788080,0.00000s,[7],0.00002s,0.05438s,[30],0.091,[3],0.532,[0],0.146,248
ordglb_sum,1821064,0.00001s,[26],0.00855s,0.72836s,[74],11.933,[122],172.978,[150],62.762,248
wrt_output,496,0.91140s,[22],3.1394s,5.3671s,[219],6.269,[36],6.292,[197],6.279,248
physics,1785848,0.00753s,[221],0.06150s,0.80075s,[69],435.485,[33],448.120,[192],442.827,248
intp,9228328,0.00000s,[189],0.00004s,0.00702s,[224],0.953,[241],1.731,[0],1.389,248
nh_diagnostics,5656384,0.00000s,[0],0.00021s,0.20968s,[115],2.393,[31],7.731,[96],4.747,248
diagnose_pres_temp,744992,0.00000s,[0],0.00033s,0.00994s,[99],0.517,[91],1.612,[123],0.986,248
model_init,744,0.23058s,[28],2.4148s,5.3914s,[128],7.213,[12],7.304,[0],7.244,248
upper_atmosphere,992,0.00000s,[29],0.00124s,0.00938s,[9],0.002,[126],0.011,[134],0.005,248
write_restart,298096,0.01274s,[97],0.62228s,3.5560s,[23],746.137,[48],749.579,[9],747.982,248
