name,# calls,t_min,t_avg,t_max,total min (s),total max (s),total avg (s)
wrt_output,1202,0.00000s,2.4912s,12.1964s,2994.414,2994.414,2994.414
model_init,1,0.00028s,0.00028s,0.00028s,0.000,0.000,0.000
