name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,512,11m38s,[175],11m38s,11m38s,[0],698.284,[175],698.552,[0],698.290,512
exch_data,119306240,0.00000s,[43],0.00189s,4.0306s,[14],68.984,[0],478.066,[339],439.467,512
global_sum,3691520,0.00000s,[15],0.00001s,0.05508s,[372],0.027,[177],0.439,[0],0.067,512
ordglb_sum,3759616,0.00001s,[25],0.00564s,0.86519s,[137],6.300,[336],54.601,[122],41.430,512
wrt_output,1024,1.5414s,[234],1.6903s,1.8366s,[321],3.374,[234],3.392,[65],3.381,512
physics,3686912,0.00377s,[304],0.02583s,0.92433s,[446],182.370,[0],187.885,[101],186.022,512
intp,19052032,0.00000s,[0],0.00001s,0.00681s,[305],0.431,[467],0.579,[237],0.482,512
nh_diagnostics,11677696,0.00000s,[0],0.00005s,0.04981s,[267],0.773,[370],1.448,[129],1.089,512
diagnose_pres_temp,1538048,0.00000s,[0],0.00009s,0.18572s,[472],0.175,[306],0.454,[320],0.265,512
model_init,1536,0.28375s,[18],1.5744s,2.3276s,[6],4.696,[135],4.769,[499],4.723,512
upper_atmosphere,2048,0.00000s,[151],0.00139s,0.00859s,[214],0.002,[227],0.011,[468],0.006,512
write_restart,615424,0.00183s,[192],0.00950s,4.0323s,[0],6.056,[257],398.205,[0],11.417,512
