name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,124,23m35s,[82],23m35s,23m35s,[1],1415.502,[82],1415.508,[1],1415.504,124
exch_data,28894480,0.00000s,[42],0.00105s,0.21951s,[34],165.867,[76],674.807,[122],244.068,124
global_sum,894040,0.00000s,[35],0.00004s,0.01009s,[42],0.227,[123],0.473,[0],0.294,124
ordglb_sum,910532,0.00000s,[7],0.00819s,0.19898s,[95],6.893,[61],89.954,[93],60.132,124
wrt_output,248,0.41412s,[31],0.42813s,0.43914s,[56],0.849,[72],0.867,[111],0.856,124
physics,892924,0.01498s,[36],0.08754s,0.38939s,[29],626.832,[22],633.347,[96],630.398,124
intp,4467844,0.00001s,[2],0.00008s,0.00641s,[36],1.703,[120],3.940,[29],2.936,124
nh_diagnostics,2681872,0.00000s,[0],0.00011s,0.01635s,[91],1.860,[121],2.687,[2],2.444,124
diagnose_pres_temp,226176,0.00000s,[0],0.00011s,0.00508s,[41],0.052,[120],0.255,[20],0.195,124
model_init,372,0.21478s,[104],1.0754s,1.8011s,[43],3.208,[38],3.245,[4],3.226,124
upper_atmosphere,496,0.00000s,[0],0.00148s,0.00923s,[74],0.002,[87],0.010,[74],0.006,124
write_restart,2728,0.01673s,[22],0.06058s,0.79379s,[4],1.269,[32],1.421,[49],1.333,124
