name,# calls,t_min,min rank,t_avg,t_max,max rank,total min (s),total min rank,total max (s),total max rank,total avg (s),# PEs
total,120,27m55s,[31],27m55s,27m55s,[12],1675.827,[31],1675.831,[12],1675.829,120
exch_data,27962400,0.00000s,[19],0.00098s,0.55542s,[27],151.455,[110],566.848,[118],229.149,120
global_sum,865200,0.00000s,[1],0.00003s,0.07041s,[112],0.185,[25],0.353,[0],0.220,120
ordglb_sum,881160,0.00000s,[64],0.00870s,0.29377s,[92],7.607,[118],93.940,[95],63.916,120
wrt_output,240,0.43330s,[11],0.55973s,0.68371s,[31],1.116,[56],1.125,[63],1.119,120
physics,864120,0.01485s,[113],0.09044s,1.7862s,[56],647.645,[0],653.469,[27],651.223,120
intp,4465320,0.00001s,[0],0.00008s,0.00690s,[113],1.912,[118],3.674,[34],3.022,120
nh_diagnostics,2736960,0.00000s,[0],0.00021s,0.06626s,[118],3.670,[115],5.049,[109],4.830,120
diagnose_pres_temp,360480,0.00000s,[0],0.00055s,0.05424s,[76],1.151,[116],1.769,[6],1.655,120
model_init,360,0.18547s,[10],1.0492s,1.7620s,[51],3.127,[20],3.166,[93],3.147,120
upper_atmosphere,480,0.00000s,[0],0.00086s,0.00518s,[3],0.001,[52],0.007,[3],0.003,120
write_restart,144240,0.00940s,[0],0.17378s,1.1335s,[67],208.708,[0],209.756,[116],208.884,120
